NomeFantasia,data_fechamento,crescimento_receita_yoy (%),crescimento_lucro_yoy (%),crescimento_ebit_yoy (%),crescimento_ativo_yoy (%),crescimento_pl_yoy (%),crescimento_caixa_operacional_yoy (%),variacao_endividamento_yoy (p.p.)
3 Tentos Agroindustrial ,2022-12-31,,,,,,,
3 Tentos Agroindustrial ,2023-12-31,0.31,0.0,-0.18,0.13,0.19,2.35,0.02
3 Tentos Agroindustrial ,2024-12-31,0.43,0.32,1.82,0.29,0.21,-0.16,0.32
Almacenes Éxito,2022-12-31,,,,,,,
Almacenes Éxito,2023-12-31,-0.02,0.18,-0.23,0.05,0.03,-0.39,0.13
Almacenes Éxito,2024-12-31,0.18,-0.12,0.05,0.19,0.2,-0.79,0.12
Assaí,2022-12-31,,,,,,,
Assaí,2023-12-31,0.22,-0.42,0.15,0.06,0.19,0.16,0.0
Assaí,2024-12-31,0.11,0.08,0.17,0.06,0.13,-0.17,-0.01
C&A,2022-12-31,,,,,,,
C&A,2023-12-31,0.09,-9.23,0.49,0.01,-0.0,-0.11,-0.18
C&A,2024-12-31,0.14,-67.35,1.03,0.03,0.11,0.54,0.27
Carrefour,2022-12-31,,,,,,,
Carrefour,2023-12-31,0.07,-1.32,-0.42,0.0,-0.04,-0.32,0.02
Carrefour,2024-12-31,0.05,-4.04,0.5,0.08,0.09,-0.0,0.08
Drogasil,2022-12-31,,,,,,,
Drogasil,2023-12-31,0.17,0.07,0.13,0.17,0.12,0.06,0.27
Drogasil,2024-12-31,0.14,0.11,0.13,0.1,0.07,0.55,0.14
GPA,2022-12-31,,,,,,,
GPA,2023-12-31,0.03,532.5,-2.17,-0.5,-0.66,-3.61,-0.65
GPA,2024-12-31,0.06,0.13,-1.66,-0.11,-0.38,1.42,0.02
Grupo Mateus,2022-12-31,,,,,,,
Grupo Mateus,2023-12-31,0.23,0.16,0.23,0.23,0.16,-0.02,0.54
Grupo Mateus,2024-12-31,0.2,0.08,0.24,0.16,0.14,0.53,0.1
Lojas Quero Quero,2022-12-31,,,,,,,
Lojas Quero Quero,2023-12-31,0.04,-2.05,0.18,0.09,-0.01,-0.3,0.22
Lojas Quero Quero,2024-12-31,0.11,-0.99,0.03,0.12,0.02,0.94,0.3
Lojas Renner,2022-12-31,,,,,,,
Lojas Renner,2023-12-31,0.03,-0.24,-0.37,-0.03,-0.0,0.73,0.07
Lojas Renner,2024-12-31,0.06,0.23,0.42,-0.01,0.07,-0.07,0.02
