NomeFantasia,data_fechamento,liquidez_corrente (pontos),liquidez_geral (pontos),liquidez_imediata (pontos),endividamento (pontos),alavancagem (pontos),composicao_endividamento (%),roe (%),roa (%),ebit (R$),margem_bruta (%),margem_operacional (%),margem_liquida (%),caixa_operacional_sobre_receita (%),conversao_caixa (%),fluxo_caixa_livre (R$),participacao_caixa (%)
3 Tentos Agroindustrial ,2022-12-31,1.55,1.86,0.26,0.54,2.16,0.84,0.2,0.09,537651000,1.85,0.08,0.08,0.04,0.45,297645000,0.12
3 Tentos Agroindustrial ,2023-12-31,1.59,1.95,0.37,0.51,2.05,0.79,0.17,0.08,441690000,1.86,0.05,0.06,0.1,1.5,1323304000,0.15
3 Tentos Agroindustrial ,2024-12-31,1.58,1.84,0.46,0.54,2.2,0.76,0.19,0.09,1245298000,1.8,0.1,0.06,0.06,0.96,1249508000,0.19
Almacenes Éxito,2022-12-31,0.8,1.87,0.23,0.54,2.15,0.76,0.03,0.02,1159757000,1.75,0.05,0.01,0.12,9.51,3521917000,0.1
Almacenes Éxito,2023-12-31,0.74,1.83,0.21,0.55,2.2,0.8,0.04,0.02,888895000,1.74,0.04,0.01,0.07,4.96,2446282000,0.09
Almacenes Éxito,2024-12-31,0.76,1.84,0.19,0.54,2.19,0.75,0.03,0.01,931299000,1.75,0.03,0.01,0.01,1.16,897841000,0.08
Assaí,2022-12-31,0.86,1.11,0.36,0.9,10.43,0.45,0.31,0.03,2850000000,1.84,0.05,0.02,0.09,4.22,8934000000,0.14
Assaí,2023-12-31,0.89,1.12,0.33,0.89,9.33,0.43,0.15,0.02,3285000000,1.84,0.05,0.01,0.09,8.4,9018000000,0.13
Assaí,2024-12-31,1.01,1.13,0.35,0.88,8.68,0.4,0.15,0.02,3844000000,1.83,0.05,0.01,0.07,6.41,6602000000,0.12
C&A,2022-12-31,1.29,1.45,0.45,0.69,3.21,0.56,0.0,0.0,268180000,1.51,0.04,0.0,0.18,1315.29,1561962000,0.17
C&A,2023-12-31,1.46,1.44,0.38,0.69,3.25,0.45,-0.0,-0.0,398685000,1.48,0.06,-0.0,0.14,-141.75,1201169000,0.12
C&A,2024-12-31,1.3,1.49,0.36,0.67,3.04,0.57,0.14,0.05,809245000,1.45,0.11,0.06,0.19,3.28,1776809000,0.14
Carrefour,2022-12-31,0.92,1.31,0.23,0.76,4.24,0.66,0.09,0.02,4933000000,1.81,0.05,0.02,0.07,3.49,14275000000,0.12
Carrefour,2023-12-31,0.94,1.29,0.25,0.78,4.45,0.66,-0.03,-0.01,2841000000,1.81,0.03,-0.01,0.04,-7.4,5635000000,0.13
Carrefour,2024-12-31,1.0,1.29,0.3,0.77,4.43,0.66,0.09,0.02,4271000000,1.82,0.04,0.02,0.04,2.43,5732000000,0.15
Drogasil,2022-12-31,1.5,1.46,0.07,0.69,3.18,0.54,0.19,0.06,1839324000,1.7,0.06,0.03,0.06,1.66,2911575000,0.03
Drogasil,2023-12-31,1.43,1.43,0.05,0.7,3.33,0.57,0.18,0.05,2080489000,1.7,0.06,0.03,0.05,1.64,3092450000,0.02
Drogasil,2024-12-31,1.38,1.41,0.06,0.71,3.44,0.59,0.19,0.05,2352106000,1.7,0.06,0.03,0.07,2.29,4184174000,0.02
GPA,2022-12-31,1.61,1.46,0.21,0.69,3.19,0.59,-0.0,-0.0,-565000000,1.75,-0.03,-0.0,-0.01,54.0,-3050000000,0.09
GPA,2023-12-31,1.21,1.27,0.48,0.79,4.67,0.36,-0.45,-0.1,660000000,1.74,0.04,-0.12,0.03,-0.26,2160000000,0.13
GPA,2024-12-31,0.96,1.18,0.41,0.85,6.71,0.38,-0.82,-0.12,-436000000,1.72,-0.02,-0.13,0.07,-0.57,1025000000,0.13
Grupo Mateus,2022-12-31,3.2,2.32,0.65,0.43,1.76,0.48,0.14,0.08,1365284000,1.78,0.06,0.05,0.04,0.92,1577363000,0.14
Grupo Mateus,2023-12-31,2.45,2.16,0.3,0.46,1.86,0.56,0.14,0.08,1682611000,1.78,0.06,0.05,0.04,0.77,2030431000,0.08
Grupo Mateus,2024-12-31,2.56,2.11,0.36,0.47,1.9,0.52,0.13,0.07,2090814000,1.77,0.07,0.04,0.05,1.09,2594206000,0.09
Lojas Quero Quero,2022-12-31,1.89,1.22,0.39,0.82,5.65,0.43,-0.03,-0.01,87554000,1.67,0.04,-0.01,0.1,-12.64,291897000,0.14
Lojas Quero Quero,2023-12-31,1.7,1.19,0.32,0.84,6.19,0.47,0.04,0.01,103006000,1.66,0.04,0.01,0.07,8.46,246069000,0.13
Lojas Quero Quero,2024-12-31,1.56,1.17,0.29,0.85,6.78,0.54,0.0,0.0,105655000,1.65,0.04,0.0,0.12,2216.75,425391000,0.13
Lojas Renner,2022-12-31,1.86,1.91,0.41,0.52,2.1,0.63,0.13,0.06,1407401000,1.4,0.11,0.1,0.12,1.19,2726723000,0.13
Lojas Renner,2023-12-31,1.63,1.96,0.34,0.51,2.04,0.72,0.1,0.05,889077000,1.4,0.07,0.07,0.2,2.73,3556280000,0.12
Lojas Renner,2024-12-31,1.61,2.12,0.25,0.47,1.89,0.8,0.11,0.06,1259343000,1.39,0.09,0.08,0.17,2.08,3166208000,0.09
