NomeFantasia,data_fechamento,Aplicações financeiras,Ativo circulante,Ativo não circulante,Ativo total,Caixa e equivalentes de caixa,Caixa líquido das atividades de financiamento,Caixa líquido das atividades de investimento,Caixa líquido das atividades operacionais,Custo de bens e/ou serviços vendidos,Despesas/Receitas operacionais,Lucro/Prejuízo do período,Passivo circulante,Passivo não circulante,Patrimônio líquido,Receita líquida de vendas e/ou serviços,Resultado antes do resultado financeiro e dos tributos
3 Tentos Agroindustrial ,2022-12-31,154841000,4257219000,1824770000,6081989000,724314000,154975000,-39948000,257697000,-5842540000,-505648000,571174000,2739186000,524248000,2818555000,6885839000,537651000
3 Tentos Agroindustrial ,2023-12-31,197451000,4422008000,2461781000,6883789000,1028483000,-99537000,-459799000,863505000,-7752979000,-804316000,573802000,2784746000,747152000,3351891000,8998985000,441690000
3 Tentos Agroindustrial ,2024-12-31,75404000,5776390000,3113033000,8889423000,1696858000,465459000,-523296000,726212000,-10294268000,-1286205000,756395000,3666344000,1177361000,4045718000,12825771000,1245298000
Almacenes Éxito,2022-12-31,0,6439465000,13271197000,19710662000,1880435000,-1500275000,-643269000,2878648000,-18669547000,-5200456000,302546000,8031228000,2530983000,9148451000,25029760000,1159757000
Almacenes Éxito,2023-12-31,0,6691551000,14004355000,20695906000,1910289000,-1196654000,-679661000,1766621000,-18158247000,-5388319000,356518000,9049362000,2246095000,9400449000,24435461000,888895000
Almacenes Éxito,2024-12-31,0,7662996000,16989784000,24652780000,1889851000,-50437000,-533712000,364129000,-21617778000,-6385498000,313728000,10107909000,3288268000,11256603000,28934575000,931299000
Assaí,2022-12-31,0,14179000000,26439000000,40618000000,5842000000,1938000000,-3790000000,5144000000,-45557000000,-6113000000,1220000000,16416000000,20306000000,3896000000,54520000000,2850000000
Assaí,2023-12-31,0,14616000000,28561000000,43177000000,5459000000,-3291000000,-3055000000,5963000000,-55682000000,-7536000000,710000000,16425000000,22122000000,4630000000,66503000000,3285000000
Assaí,2024-12-31,0,16448000000,29145000000,45593000000,5628000000,-3093000000,-1670000000,4932000000,-61598000000,-8377000000,769000000,16312000000,24026000000,5255000000,73819000000,3844000000
C&A,2022-12-31,8735000,4753223000,4876371000,9629594000,1674091000,5054000,-471588000,1090374000,-3141712000,-2773658000,829000,3679731000,2949667000,3000196000,6183550000,268180000
C&A,2023-12-31,191587000,4441842000,5283723000,9725565000,1155588000,-1250826000,-234423000,966746000,-3197049000,-3123583000,-6820000,3035263000,3699227000,2991075000,6719317000,398685000
C&A,2024-12-31,169310000,4993393000,5060506000,10053899000,1403225000,-945648000,-291762000,1485047000,-3459970000,-3367324000,452478000,3850272000,2895139000,3308488000,7636539000,809245000
