id_empresa,id_conta,data_fechamento,valor
9821,55,2020-12-31,41807708
2088,55,2020-12-31,84471000
7841,421,2022-12-31,263619000
24692,335,2023-12-31,-413639000
14416,57,2023-12-31,12029154
1860,332,2020-12-31,129090000
6715,421,2023-12-31,-26631000
2575,473,2024-12-31,-1242671000
1258,421,2021-12-31,-120388116
14705,103,2020-12-31,133983000
1273,332,2022-12-31,252094000
24367,347,2022-12-31,137949000
19903,103,2022-12-31,61140000
20837,332,2022-12-31,241318000
8538,286,2023-12-31,75360000
23351,332,2022-12-31,407935000
6372,56,2023-12-31,1608786000
19578,55,2020-12-31,588684000
7794,55,2021-12-31,22854000000
3732,473,2022-12-31,-197551000
24466,55,2023-12-31,1974412000
24455,103,2021-12-31,19460000
1388,333,2022-12-31,-2907245
18129,335,2020-12-31,-125492000
21028,333,2020-12-31,-1882475000
9821,335,2022-12-31,-23705084
1884,333,2020-12-31,-74857000
24583,332,2023-12-31,963697000
6202,286,2022-12-31,37457000
2271,56,2021-12-31,23688174
6372,178,2020-12-31,1018935000
2899,178,2021-12-31,2825819
17540,230,2022-12-31,49353000
982,333,2023-12-31,-52001931
9476,103,2021-12-31,3608270
6682,178,2023-12-31,174035000
18120,421,2022-12-31,20805828
2098,230,2023-12-31,26623165
728,286,2020-12-31,57369000
1495,347,2022-12-31,39481000
23081,347,2021-12-31,264543000
19660,73,2021-12-31,11261000
18222,335,2020-12-31,-24801545
1250,375,2022-03-31,153469000
1780,421,2020-12-31,74694000
20384,103,2022-12-31,19647000
14416,375,2021-12-31,14890430
3501,57,2020-12-31,28482000
18106,286,2023-12-31,1648577000
3467,230,2021-12-31,16185000
3354,333,2020-12-31,-337264000
3606,347,2020-12-31,-1654000
15931,56,2020-12-31,17828010
23416,421,2020-12-31,719913000
6361,347,2021-12-31,67946000
2011,57,2020-12-31,2030000
7323,333,2023-12-31,-3498842000
17980,473,2023-12-31,-249844000
22435,333,2021-12-31,-256437000
1692,462,2020-12-31,122269
5734,230,2021-12-31,2291625000
15198,421,2021-12-31,2129800000
7320,347,2020-12-31,33142000
19707,347,2023-12-31,-4518000
1907,462,2020-12-31,-10798001
17589,375,2022-12-31,42476000
19163,375,2021-12-31,119397000
9821,473,2022-12-31,-4754652
10406,335,2020-12-31,-16037000
19660,333,2022-12-31,-4185876000
14341,332,2022-12-31,8746531000
6715,178,2020-12-31,165714000
24886,421,2023-12-31,-387408000
23081,230,2023-12-31,93806000
2214,56,2021-12-31,7869639
5767,333,2022-12-31,-1138474000
3613,333,2021-12-31,-31264480
18457,347,2022-12-31,-5643269
9835,462,2023-12-31,-261000
2214,333,2020-12-31,-30734064
21593,333,2022-03-31,-264619000
5542,103,2023-12-31,977301000
252,332,2021-12-31,83704000
454,332,2021-12-31,93197024
4121,332,2020-12-31,991223000
7243,462,2023-12-31,-2042000
7517,421,2022-12-31,-2940042000
1931,286,2022-12-31,155028434
2423,55,2023-12-31,1120262000
1692,335,2021-12-31,-86066385
14803,333,2022-12-31,-795824068
8275,178,2020-12-31,1846599000
14297,57,2022-12-31,67058000
9209,286,2020-12-31,13426630
14229,56,2023-12-31,44643000000
1884,335,2022-12-31,-32723000
6034,335,2020-12-31,-34025820
1581,333,2021-12-31,-363885000
18135,178,2023-12-31,5173708000
14416,347,2020-12-31,19121322
