id_empresa,id_conta,data_fechamento,valor
4121,375,2023-12-31,113449000
22096,230,2024-12-31,1461321000
2228,103,2020-12-31,27907842
150,230,2021-12-31,5819471
1199,375,2021-12-31,35822000
541,230,2021-12-31,7908177
10309,55,2021-12-31,3447347000
7100,347,2020-12-31,290596000
17838,230,2021-12-31,1742115
7749,230,2023-12-31,5163000
21283,333,2020-12-31,-115878000
9835,332,2022-12-31,131469000
17096,462,2022-12-31,-1032380
18195,103,2023-12-31,776616000
5070,178,2020-12-31,1841706
2389,178,2023-12-31,7492553000
20016,332,2022-12-31,1857778000
24268,286,2021-12-31,729402525
7479,286,2022-12-31,48773288
1258,473,2023-12-31,36416550
10309,375,2020-12-31,58387000
14373,230,2021-12-31,13202000
14915,462,2023-12-31,-183981000
16290,347,2020-12-31,170380000
15929,57,2021-12-31,2017674
16717,333,2021-03-31,-198355000
490,178,2022-12-31,16410665
13869,462,2020-12-31,-256705
18457,56,2022-12-31,11131874
22662,286,2020-12-31,7789000000
5718,286,2020-12-31,915158000
2571,57,2024-12-31,35290000
14366,347,2020-12-31,16652000
5077,462,2023-12-31,-976516000
3463,421,2020-12-31,72606518
11692,375,2022-12-31,1755916
22506,178,2023-12-31,3767470000
14,375,2020-12-31,2326000000
5255,103,2021-12-31,981214000
3486,333,2022-12-31,-170989000
9039,73,2020-12-31,8895000
3308,347,2020-12-31,12849256
7323,375,2021-12-31,187368000
5732,335,2022-12-31,-426408000
14915,178,2022-12-31,252946000
22087,230,2023-12-31,137630000
16412,347,2023-12-31,46704000
2575,73,2024-12-31,15706000
19541,335,2021-12-31,-7773000
18222,335,2021-12-31,-32230093
21001,375,2021-12-31,68238000
19310,332,2023-12-31,1681992000
15198,230,2022-12-31,659429000
23081,335,2021-12-31,-233653000
4716,230,2021-12-31,2550000
20406,375,2021-06-30,14662000
7981,230,2020-12-31,15612000
21606,230,2020-12-31,2403136000
5802,286,2020-12-31,127419000
7243,462,2020-12-31,-2690079
3509,55,2021-12-31,1900999000
3509,103,2022-12-31,356182000
6406,56,2023-12-31,10727000000
1730,335,2022-12-31,-22916620
1495,73,2022-12-31,19414000
19883,421,2020-12-31,97785000
1780,56,2022-12-31,467215000
16412,347,2023-12-31,46704000
7241,462,2022-12-31,-47202208
3308,56,2021-12-31,148419291
2933,286,2020-12-31,9447490
3214,73,2022-12-31,35920000
5801,286,2020-12-31,-3636108000
15198,421,2023-12-31,2110635000
24348,347,2023-12-31,98564000
8456,421,2022-12-31,5182000
18130,56,2023-12-31,155323000
14297,56,2023-12-31,679291000
20837,421,2022-12-31,-1263730
1133,375,2021-12-31,-31000
1454,473,2023-12-31,-173956477
9013,335,2022-12-31,-103935000
14408,335,2023-04-30,-58142000
23416,333,2023-12-31,-7909128000
5801,347,2022-12-31,1016422000
6406,55,2021-12-31,37518174000
14351,286,2023-12-31,84810000
1250,462,2021-03-31,-10978000
3768,230,2022-12-31,4153614000
4834,56,2021-12-31,27904353
2228,473,2021-12-31,-25000000
5771,332,2020-12-31,264352000
788,375,2023-12-31,-4046089
20384,473,2022-12-31,-37995000
3577,347,2021-12-31,25944000
23404,230,2023-12-31,64416000
14,347,2021-12-31,53000000
1692,462,2022-12-31,-506016
12636,347,2023-12-31,3829000
14341,335,2022-12-31,-883298000
