nome_empresa,data_fechamento,liquidez_corrente (pontos),liquidez_geral (pontos),liquidez_imediata (pontos),endividamento (pontos),alavancagem (pontos),composicao_endividamento (%),roe (%),roa (%),ebit (R$),margem_bruta (%),margem_operacional (%),margem_liquida (%),caixa_operacional_sobre_receita (%),conversao_caixa (%),fluxo_caixa_livre (R$),participacao_caixa (%)
Eurobike,2021-12-31,0.76,1.47,0.02,0.68,3.11,0.62,0.73,0.23,70930000,1.83,0.09,0.06,0.05,0.8691117307733243,52968000,0.01
Simpala Veículos,2022-12-31,4.11,1.82,0.08,0.55,2.22,0.18,0.54,0.25,20993000,1.59,0.13,0.1,0.01,0.08286737450524596,-8472000,0.01
Luiz Tonin Atacadista,2020-12-31,1.31,1.15,0.07,0.87,7.73,0.33,0.08,0.01,10740025,1.82,0.01,0.0,0.03,6.951222204215193,34406540,0.02
Minasmáquinas,2023-12-31,1.62,1.95,0.14,0.51,2.05,0.98,0.11,0.05,42145000,1.92,0.04,0.03,0.04,1.54666809055959,62181000,0.07
J.S. Auto Peças,2023-12-31,2.1,1.76,0.09,0.57,2.32,0.82,0.19,0.08,24008683,1.71,0.06,0.03,0.02,0.5248919696992571,7281776,0.04
MD Medical Doctor,2020-12-31,1.79,1.86,0.22,0.54,2.16,0.77,0.47,0.22,130143000,1.59,0.27,0.19,0.43,2.2771232389432043,211381000,0.09
Hospfar,2022-12-31,1.4,1.42,0.03,0.7,3.37,0.64,0.06,0.02,19698000,1.82,0.06,0.01,0.02,1.2419864559819414,5015000,0.01
São Eutiquiano Participações,2020-12-31,2.04,1.64,0.65,0.61,2.57,0.35,0.37,0.14,290596000,1.68,0.31,0.2,0.26,1.3356354479211316,395321000,0.14
Saga Brasil Administração e Participações,2023-12-31,1.77,1.81,0.08,0.55,2.23,0.79,0.23,0.1,294217000,1.89,0.03,0.02,0.02,0.7929744897475518,233467000,0.03
Quimetal,2021-12-31,2.42,1.41,1.17,0.71,3.41,0.34,0.21,0.06,6464009,1.92,0.06,0.06,-0.04,-0.7141443192932077,-5015971,0.28
Lojas Colombo,2020-12-31,1.94,1.41,0.33,0.71,3.47,0.49,0.43,0.12,196952000,1.66,0.13,0.16,-0.0,-0.02179223783709126,27671000,0.11
Humberg Agribrasil Bioenergia,2021-12-31,1.16,1.03,0.36,0.97,34.88,0.84,0.33,0.01,26014000,1.98,0.01,0.0,-0.11,-26.07806161605087,-236986000,0.29
Simex Siqueira Importação e Exportação,2021-12-31,0.79,1.09,0.05,0.91,11.66,0.52,-0.64,-0.05,-212594,1.0,-1.93,-1.94,-0.01,0.0034713903881474803,-739,0.03
APB Automação,2020-12-31,1.86,2.06,0.42,0.48,1.94,0.54,-0.03,-0.02,858727,1.8,0.01,-0.02,-0.03,1.4315507630866418,-2662339,0.11
Agrícola Alvorada,2023-12-31,1.26,1.13,0.42,0.88,8.56,0.69,0.01,0.0,125611000,1.97,0.01,0.0,0.09,151.71436683702441,1049422000,0.26
Grazziotin,2021-12-31,2.38,3.22,0.16,0.31,1.45,0.66,0.23,0.16,180129000,1.47,0.29,0.28,-0.07,-0.2324632672678171,4666000,0.03
Hortus Comércio de Alimentos,2021-12-31,0.55,0.77,0.14,1.29,-3.39,0.48,0.0,-0.0,66773000,1.63,0.07,-0.0,0.03,-32.60709413369713,84824000,0.09
