id_empresa,nome_empresa,data_fechamento,id_conta,codigo_conta,descricao_conta,valor
5767,A.R. Colombo,2023-12-31,421,6.01,Caixa líquido das atividades operacionais,368939000
24466,Belenus,2023-12-31,56,1.01,Ativo circulante,1655391000
18952,Casas das Correntes,2020-12-31,55,1,Ativo total,45521000
14311,Piramidal,2022-12-31,178,2.01,Passivo circulante,59731000
5734,Farmácias Pague Menos,2021-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-5108147000
983,Casa Nunes Martins,2023-12-31,473,6.03,Caixa líquido das atividades de financiamento,-538000
18242,Daviso,2021-12-31,55,1,Ativo total,121851000
197,Cimma,2021-12-31,55,1,Ativo total,9252136
24511,Fisia Comércio de Produtos Esportivos,2021-12-31,55,1,Ativo total,2494811000
5672,Drogarias Pacheco,2023-12-31,56,1.01,Ativo circulante,1496625000
7243,Cordeiro Cabos Elétricos,2020-12-31,56,1.01,Ativo circulante,315200330
21117,Belagrícola Comércio e Representações de Produtos Agrícolas,2020-12-31,421,6.01,Caixa líquido das atividades operacionais,124344000
8569,RV Tecnologia e Sistemas,2021-12-31,178,2.01,Passivo circulante,537680000
4423,Tratornew,2021-12-31,57,1.01.01,Caixa e equivalentes de caixa,18286823
1273,SOCIC,2021-12-31,103,1.02,Ativo não circulante,279635000
11320,"Mills Pesados Locação, Serviços e Logística",2022-12-31,421,6.01,Caixa líquido das atividades operacionais,-63796000
21969,Original Veículos,2021-12-31,55,1,Ativo total,248729000
5801,Cofco Intl,2023-12-31,57,1.01.01,Caixa e equivalentes de caixa,169400000
12636,Loungerie,2021-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-68469000
16534,RodOil,2022-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,127274000
14446,Rozac Comércio Importação e Exportação de Produtos Têxteis,2023-12-31,286,2.03,Patrimônio líquido,125889183
16479,SS Comércio de Cosméticos e Produtos de Higiene Pessoal,2022-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-144582000
9039,Eurobike,2020-12-31,375,3.18,Lucro/Prejuízo do período,3030000
5734,Farmácias Pague Menos,2022-12-31,332,3.03,Receita líquida de vendas e/ou serviços,9189075000
14229,Grupo Carrefour Brasil,2024-12-31,335,3.06,Despesas/Receitas operacionais,-16904000000
19139,Ultrapar,2022-12-31,55,1,Ativo total,729129000
20837,Açúcar Número Um,2022-12-31,57,1.01.01,Caixa e equivalentes de caixa,2259000
19154,Semantix,2022-12-31,332,3.03,Receita líquida de vendas e/ou serviços,262094000
24584,Copagri,2023-12-31,230,2.02,Passivo não circulante,165366000
21446,JoãoMed,2022-12-31,286,2.03,Patrimônio líquido,26660000
5700,Eletrosom,2021-12-31,375,3.18,Lucro/Prejuízo do período,7860000
2575,Raia Drogasil,2021-12-31,421,6.01,Caixa líquido das atividades operacionais,1556935000
18215,JCS Brasil,2022-12-31,286,2.03,Patrimônio líquido,446545000
8349,DBR Comércio de Artigos do Vestuário,2020-12-31,55,1,Ativo total,125503000
21083,Atlântica Exportação e Importação,2021-12-31,178,2.01,Passivo circulante,2051458000
24632,Bravium,2021-12-31,332,3.03,Receita líquida de vendas e/ou serviços,237833000
1288,Grazziotin,2022-12-31,335,3.06,Despesas/Receitas operacionais,-276324000
13869,Companhia Industrial de Alimentação Trading Company,2022-12-31,178,2.01,Passivo circulante,3250704
3653,CPA Trading,2020-12-31,56,1.01,Ativo circulante,22778000
2399,Lojas Marisa,2021-12-31,230,2.02,Passivo não circulante,1051805000
19163,AgroGalaxy,2021-12-31,57,1.01.01,Caixa e equivalentes de caixa,643563000
24698,Oxxo,2023-03-31,178,2.01,Passivo circulante,335342000
24757,Sander Rede de Postos,2023-12-31,335,3.06,Despesas/Receitas operacionais,-30309551
23892,Solar Bebidas,2021-12-31,462,6.02,Caixa líquido das atividades de investimento,-400230000
10118,Unissul,2020-12-31,462,6.02,Caixa líquido das atividades de investimento,-1501002
20213,"Allfood Importação, Indústria e Comércio",2021-12-31,286,2.03,Patrimônio líquido,14058000
6349,Leader Magazine,2021-12-31,230,2.02,Passivo não circulante,767636000
17540,Terranuts,2023-12-31,462,6.02,Caixa líquido das atividades de investimento,-12773000
24403,Automob,2021-12-31,55,1,Ativo total,372419000
7935,Biopalma,2020-12-31,421,6.01,Caixa líquido das atividades operacionais,-751034753
1581,BRS Suprimentos Corporativos,2022-12-31,462,6.02,Caixa líquido das atividades de investimento,-7913000
9476,RBG Therapeutic World,2023-12-31,55,1,Ativo total,62643100
22118,Agrofel,2021-12-31,473,6.03,Caixa líquido das atividades de financiamento,29851000
1388,Lavoura Indústria Comércio Oeste,2022-12-31,178,2.01,Passivo circulante,15051104
5693,Dpaschoal,2020-12-31,375,3.18,Lucro/Prejuízo do período,13772000
13976,GGD Metals,2023-12-31,57,1.01.01,Caixa e equivalentes de caixa,30036942
5819,Conab,2021-12-31,55,1,Ativo total,3410025000
14,Grupo Pão de Açúcar,2023-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,660000000
655,Importadora Bagé,2022-12-31,56,1.01,Ativo circulante,38249464
2571,Le Lis,2023-12-31,462,6.02,Caixa líquido das atividades de investimento,-168042000
8373,Nuseed Brasil,2021-09-30,335,3.06,Despesas/Receitas operacionais,-30995000
3214,Serglobal,2021-12-31,56,1.01,Ativo circulante,1454843000
18218,Daus,2021-12-31,56,1.01,Ativo circulante,68742000
668,Comercial Oeste,2021-12-31,178,2.01,Passivo circulante,1755648
11320,Solaris,2021-12-31,335,3.06,Despesas/Receitas operacionais,-8464000
21285,SP Japan,2020-12-31,103,1.02,Ativo não circulante,42007000
17119,Osklen,2023-12-31,103,1.02,Ativo não circulante,130077000
24511,Fisia Comércio de Produtos Esportivos,2022-12-31,57,1.01.01,Caixa e equivalentes de caixa,159867000
2019,Grupo Unetral,2022-12-31,286,2.03,Patrimônio líquido,45533561
2575,Raia Drogasil,2023-12-31,73,1.01.04,Aplicações financeiras,26506000
7188,Frigol,2021-12-31,421,6.01,Caixa líquido das atividades operacionais,76033000
19161,Soma,2020-12-31,421,6.01,Caixa líquido das atividades operacionais,-115393000
7961,Swell Importação e Comércio de Produtos de Iluminação,2021-12-31,178,2.01,Passivo circulante,12629000
7961,Swell Importação e Comércio de Produtos de Iluminação,2020-12-31,57,1.01.01,Caixa e equivalentes de caixa,1218000
78,Motormac,2020-12-31,230,2.02,Passivo não circulante,2787260
18106,Castrolanda - Cooperativa Agroindustrial,2022-12-31,462,6.02,Caixa líquido das atividades de investimento,-152064000
5077,SLC Participações,2023-12-31,56,1.01,Ativo circulante,9090558000
3577,CCV Veículos,2022-12-31,473,6.03,Caixa líquido das atividades de financiamento,-6379000
9574,Uniaves,2022-12-31,103,1.02,Ativo não circulante,182485000
14398,Correcta,2020-12-31,230,2.02,Passivo não circulante,4036000
6783,Drogarias DPSP,2023-12-31,56,1.01,Ativo circulante,4444770000
1039,Cebrasa,2021-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,-5751000
