nome_empresa,data_fechamento,Aplicações financeiras,Ativo circulante,Ativo não circulante,Ativo total,Caixa e equivalentes de caixa,Caixa líquido das atividades de financiamento,Caixa líquido das atividades de investimento,Caixa líquido das atividades operacionais,Custo de bens e/ou serviços vendidos,Despesas/Receitas operacionais,Lucro/Prejuízo do período,Passivo circulante,Passivo não circulante,Patrimônio líquido,Receita líquida de vendas e/ou serviços,Resultado antes do resultado financeiro e dos tributos
SND Soluções em Tecnologia,2022-12-31,0,276339000,27107000,303446000,13677000,2136000,-15472000,10436000,-775037000,-90066000,23094000,190062000,58112000,55272000,909515000,44412000
Companhia Sulamericana de Distribuição,2023-12-31,0,934221000,1266050000,2200271000,171096000,-43107000,-83375000,123101000,-2915809000,-806038000,38488000,867812000,935280000,397179000,3940265000,218418000
Tramontina Planalto,2022-12-31,0,77986418,41911683,119898101,10061325,-2979312,-402072,5833126,-133270748,-50494885,6176650,49322646,29600938,40974517,194150335,10384702
RaiaDrogasil,2020-12-31,0,7020490000,6807598000,13828088000,880357000,-223010000,-673097000,1477238000,-14175708000,-4975148000,495533000,4801303000,4601164000,4425621000,20066840000,915984000
Distribuidora e Importadora Irmãos Avelino,2021-06-30,0,57551000,27278000,84829000,7499000,484000,-6976000,6393000,-159537000,-41187000,1624000,34059000,8731000,42039000,204320000,3596000
CPA Trading,2022-12-31,0,23703000,50779000,74482000,15254000,5021000,-868000,5645000,-117926000,-7932000,10290000,11244000,10760000,52478000,138521000,12663000
Etilux Importação e Distribuição de Artigos de Cutelaria,2020-12-31,0,188683061,10444033,199127095,5717649,7030921,-392572,-3553363,-66953990,-77721799,11922370,83879764,7503562,107743768,170274692,25598902
Mundo dos Cosméticos,2023-12-31,0,117681000,63571000,181252000,17945000,-40927000,-1442000,41884000,-140615000,-96351000,18832000,82928000,36372000,61952000,268058000,31092000
JS Peças,2023-12-31,0,155099196,3128917,158228113,6771275,-1127428,-502001,6779775,-296197378,-99463219,12916515,73863786,16152208,68212119,419669280,24008683
Lavoura,2021-12-31,0,53070182,114029792,167099975,68359,0,0,0,-3714570,-7140076,-20903264,181823490,30881696,-45605210,1451816,-9402831
CSB Drogarias,2021-12-31,0,106201686,196259648,302461334,20308342,0,0,0,-184527822,-114078073,2696187,107975491,78063833,116422010,302946524,4340629
Embpar Participações,2023-12-31,0,31858000,69705000,101563000,6896000,-14836000,-25724000,13914000,-377147000,-52914000,15554000,7582000,13902000,80079000,457470000,27409000
Centauro,2021-12-31,0,3617346000,3529146000,7146492000,549347000,137320000,-509349000,407081000,-2758851000,-1949236000,497831000,2161217000,2760640000,2224635000,5110462000,402375000
Bracom Campos,2021-12-31,0,9135721,48928919,58064640,156366,-19699077,-2047913,19329182,-46353488,11772423,14324063,9410983,2650441,46003216,56421048,21839983
Tai Motors,2023-12-31,10920009,66789834,17954363,84744197,1752066,-7252234,-316764,8799859,-372076239,-27451246,8817809,47053960,4561006,33129231,415680643,16153158
Pensalab,2020-12-31,0,32303798,522681,32826479,7385750,0,0,0,-28947859,-22610530,5173624,4478327,0,28348152,60811056,9252667
Coremal Pochteca,2020-12-31,0,134583000,37829000,172412000,27968000,9958000,-2933000,11293000,-295161000,-47500000,-11592000,96154000,132888000,-56630000,367478000,24817000
Automob,2022-12-31,64307000,1355472000,1723947000,3079419000,75142000,1139288000,-1041254000,-31068000,-2658687000,-387066000,94271000,810936000,1259463000,1009020000,3189039000,143286000
SP Japan,2022-12-31,0,62818000,54791000,117609000,33130000,-11901000,14174000,30361000,-206516000,-3667000,23415000,28339000,10787000,78483000,245803000,35620000
Pneumar,2020-12-31,0,19748582,4033644,23782226,3587059,0,0,0,-30734064,-13803086,-11159793,37562373,10219364,-23999511,37674068,-6863082
JCS Brasil,2021-12-31,0,623517000,120613000,744130000,140394000,-1420000,-5525000,90746000,-569305000,-170971000,110168000,144513000,46902000,552715000,856677000,116401000
Tramontina Norte,2021-12-31,0,90741700,7202071,97943772,5120130,-1200000,-1609890,-10335645,-133133404,-29831955,22631474,33321251,5819471,58803048,194244659,31279298
Livrarias Curitiba,2022-12-31,0,158692000,46925000,205617000,25445000,68000,6358000,-1289000,-250020000,-95923000,5888000,119660000,27273000,58684000,360834000,14891000
BRS Suprimentos Corporativos,2023-12-31,0,386418000,206967000,593385000,39644000,-53156000,-9100000,99805000,-402797000,-117969000,35368000,258516000,72608000,262261000,574120000,53354000
Lavoura Indústria Comércio Oeste,2023-12-31,0,29100340,140883773,169984113,2115870,0,0,0,-2718364,-3701464,-11309540,21145339,207064342,-58225568,1588573,-4831255
Aliança Agrícola do Cerrado,2022-06-30,87361000,1950410000,226398000,2176808000,162749000,376455000,-51737000,-197716000,-3784294000,-314735000,20680000,1803724000,127264000,245820000,4206876000,107847000
SOCIC,2023-12-31,0,1108201000,303858000,1412059000,449125000,0,0,0,-143540000,-84414000,46953000,453644000,53211000,905204000,240105000,12151000
Tristão Companhia de Comércio Exterior,2021-12-31,50498000,884622000,219220000,1103842000,7493000,255787000,-50139000,-219811000,-1082949000,64379000,173703000,484765000,59027000,560050000,1261919000,243349000
Ferrari Zagatto,2020-12-31,2158000,368292000,37657000,405949000,46706000,21437000,-8190000,8131000,-494029000,-46139000,14405000,314244000,49605000,42100000,564337000,24169000
Dupatri Hospitalar,2020-12-31,0,121189000,34671000,155860000,11174000,-43568000,-1175000,41404000,-425009000,-42872000,30374000,94932000,8044000,52884000,516611000,48730000
Florença Caminhões,2022-12-31,0,111399000,28283000,139682000,203000,-6318000,-4579000,7872000,-158976000,-16034000,6611000,112487000,133000,27062000,187557000,12547000
Supermercado Bahamas,2021-12-31,17607000,655836000,792858000,1448694000,93921000,-12985000,-15645000,79892000,-2607589000,-559332000,35455000,604238000,615121000,229335000,3283334000,116413000
Miriam Mercedes-Benz Brasil,2021-12-31,0,74135382,22832021,96967403,20090211,-23688000,-15029092,43729042,-124450466,-10233429,9829553,14710495,393323,81863585,145099924,10416029
Expocaccer,2023-12-31,1771000,774912000,86467000,861379000,321900000,-7513000,14923000,42220000,-1298014000,-48394000,18610000,633312000,151206000,76861000,1425592000,79184000
Le Lis,2021-12-31,11954000,503683000,1017782000,1521465000,34155000,-46119000,-87651000,111711000,-418708000,-1134728000,-804312000,481113000,1568076000,-527724000,875920000,-677516000
Mundiart,2023-12-31,0,71828773,11438086,83266859,9874444,-17277348,-2309326,20590904,-84681356,-15784404,10935052,8455004,1777685,73034170,114543014,14077254
Bracom Rio Imobiliária,2022-12-31,0,3393836,47003346,50397182,2103349,3618387,-1124297,-547107,-44916,-869397,126853,3015266,11303423,36078493,1404351,490038
Drogaria Araújo,2021-12-31,0,790054000,405107000,1195161000,120766000,-39779000,-78501000,80000000,-1655087000,-786430000,129641000,429651000,12843000,752667000,2587593000,146076000
Pemaza Amazônia,2021-12-31,0,624489499,38383659,662873158,98566278,257183042,-8022605,-158576666,-508088941,-147307163,74857466,195758106,148363265,318751787,775217492,119821388
J.S. Peças,2021-12-31,0,133775725,3622735,137398460,409156,-11151014,-830384,-770628,-247001746,-86066385,13436220,68626017,13867956,54904487,356241779,23173648
Líder B.H. Veículos,2023-12-31,66379313,192408406,40103413,232511819,3865046,-4793673,-3400520,7299292,-587728957,-77666423,10047826,107129346,58028028,67354445,689575730,24180350
JoãoMed,2021-12-31,0,22907000,8910000,31817000,2944000,-1061000,-3887000,1445000,-29999000,-10621000,959000,5392000,0,26425000,41728000,1108000
Marubeni,2023-12-31,0,98136000,22933000,121069000,48921000,-56639000,1220000,10906000,-14836000,-44341000,18623000,13519000,2030000,105520000,71619000,12442000
Daviso,2021-12-31,0,110000000,11851000,121851000,24359000,-619000,-1065000,5587000,-109690000,-17866000,12511000,44634000,7471000,69746000,146645000,19089000
Makro,2023-12-31,0,996165000,1166740000,2162905000,123525000,-130608000,712848000,-492419000,-754416000,150447000,105889000,1001963000,213765000,947177000,843299000,239330000
Almar Participações,2023-12-31,0,1800611000,1040454000,2841065000,241323000,-136616000,-112526000,313158000,-4346688000,-1156111000,121513000,1108413000,553225000,1179427000,5576686000,73887000
Dental Cremer,2020-12-31,0,749733000,573790000,1323523000,12314000,0,0,0,-694416000,-241079000,39453000,712846000,44579000,566098000,1013950000,78455000
Quero-Quero,2023-12-31,110209000,2218074000,1087649000,3305723000,421357000,-82315000,-79588000,166481000,-1572115000,-723006000,19679000,1307156000,1464765000,533802000,2398127000,103006000
