IdEmpresa,NomeFinal,DataFechamento,IdConta,CodigoConta,ContaDescricao,ValorPadronizado
16642,2S Inovações Tecnológicas,2023-12-31,55,1,Ativo total,92462960.0
16642,2S Inovações Tecnológicas,2023-12-31,56,1.01,Ativo circulante,89553531.0
16642,2S Inovações Tecnológicas,2023-12-31,57,1.01.01,Caixa e equivalentes de caixa,6551996.0
16642,2S Inovações Tecnológicas,2023-12-31,103,1.02,Ativo não circulante,2909429.0
16642,2S Inovações Tecnológicas,2023-12-31,178,2.01,Passivo circulante,45642159.0
16642,2S Inovações Tecnológicas,2023-12-31,230,2.02,Passivo não circulante,1451571.0
16642,2S Inovações Tecnológicas,2023-12-31,286,2.03,Patrimônio líquido,45369230.0
16642,2S Inovações Tecnológicas,2023-12-31,332,3.03,Receita líquida de vendas e/ou serviços,276278346.0
16642,2S Inovações Tecnológicas,2023-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-214200218.0
16642,2S Inovações Tecnológicas,2023-12-31,335,3.06,Despesas/Receitas operacionais,-33400965.0
16642,2S Inovações Tecnológicas,2023-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,28677163.0
16642,2S Inovações Tecnológicas,2023-12-31,375,3.18,Lucro/Prejuízo do período,18986530.0
16642,2S Inovações Tecnológicas,2023-12-31,421,6.01,Caixa líquido das atividades operacionais,839779.0
16642,2S Inovações Tecnológicas,2023-12-31,462,6.02,Caixa líquido das atividades de investimento,-917522.0
16642,2S Inovações Tecnológicas,2023-12-31,473,6.03,Caixa líquido das atividades de financiamento,-4911070.0
16642,2S Inovações Tecnológicas,2022-12-31,55,1,Ativo total,80262613.0
16642,2S Inovações Tecnológicas,2022-12-31,56,1.01,Ativo circulante,77262393.0
16642,2S Inovações Tecnológicas,2022-12-31,57,1.01.01,Caixa e equivalentes de caixa,11540809.0
16642,2S Inovações Tecnológicas,2022-12-31,103,1.02,Ativo não circulante,3000220.0
16642,2S Inovações Tecnológicas,2022-12-31,178,2.01,Passivo circulante,47912489.0
16642,2S Inovações Tecnológicas,2022-12-31,286,2.03,Patrimônio líquido,32350124.0
16642,2S Inovações Tecnológicas,2022-12-31,332,3.03,Receita líquida de vendas e/ou serviços,175752248.0
16642,2S Inovações Tecnológicas,2022-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-132772007.0
16642,2S Inovações Tecnológicas,2022-12-31,335,3.06,Despesas/Receitas operacionais,-25449413.0
16642,2S Inovações Tecnológicas,2022-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,17530828.0
16642,2S Inovações Tecnológicas,2022-12-31,375,3.18,Lucro/Prejuízo do período,12143283.0
16642,2S Inovações Tecnológicas,2022-12-31,421,6.01,Caixa líquido das atividades operacionais,22674056.0
16642,2S Inovações Tecnológicas,2022-12-31,462,6.02,Caixa líquido das atividades de investimento,-630020.0
16642,2S Inovações Tecnológicas,2022-12-31,473,6.03,Caixa líquido das atividades de financiamento,-14905339.0
16642,2S Inovações Tecnológicas,2021-12-31,55,1,Ativo total,76291548.0
16642,2S Inovações Tecnológicas,2021-12-31,56,1.01,Ativo circulante,73339306.0
16642,2S Inovações Tecnológicas,2021-12-31,57,1.01.01,Caixa e equivalentes de caixa,4402112.0
16642,2S Inovações Tecnológicas,2021-12-31,103,1.02,Ativo não circulante,2952242.0
16642,2S Inovações Tecnológicas,2021-12-31,178,2.01,Passivo circulante,49068335.0
16642,2S Inovações Tecnológicas,2021-12-31,230,2.02,Passivo não circulante,4078424.0
16642,2S Inovações Tecnológicas,2021-12-31,286,2.03,Patrimônio líquido,23144789.0
16642,2S Inovações Tecnológicas,2021-12-31,332,3.03,Receita líquida de vendas e/ou serviços,174111112.0
16642,2S Inovações Tecnológicas,2021-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-138120978.0
16642,2S Inovações Tecnológicas,2021-12-31,335,3.06,Despesas/Receitas operacionais,-21040467.0
16642,2S Inovações Tecnológicas,2021-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,14949667.0
16642,2S Inovações Tecnológicas,2021-12-31,375,3.18,Lucro/Prejuízo do período,9390392.0
16642,2S Inovações Tecnológicas,2021-12-31,421,6.01,Caixa líquido das atividades operacionais,-1891248.0
16642,2S Inovações Tecnológicas,2021-12-31,462,6.02,Caixa líquido das atividades de investimento,-512440.0
16642,2S Inovações Tecnológicas,2021-12-31,473,6.03,Caixa líquido das atividades de financiamento,4900539.0
16642,2S Inovações Tecnológicas,2020-12-31,55,1,Ativo total,47235467.0
16642,2S Inovações Tecnológicas,2020-12-31,56,1.01,Ativo circulante,43046623.0
16642,2S Inovações Tecnológicas,2020-12-31,57,1.01.01,Caixa e equivalentes de caixa,1905261.0
16642,2S Inovações Tecnológicas,2020-12-31,103,1.02,Ativo não circulante,4188844.0
16642,2S Inovações Tecnológicas,2020-12-31,178,2.01,Passivo circulante,26965208.0
16642,2S Inovações Tecnológicas,2020-12-31,230,2.02,Passivo não circulante,2789685.0
16642,2S Inovações Tecnológicas,2020-12-31,286,2.03,Patrimônio líquido,17480574.0
16642,2S Inovações Tecnológicas,2020-12-31,332,3.03,Receita líquida de vendas e/ou serviços,137819482.0
16642,2S Inovações Tecnológicas,2020-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-108094596.0
16642,2S Inovações Tecnológicas,2020-12-31,335,3.06,Despesas/Receitas operacionais,-17638284.0
16642,2S Inovações Tecnológicas,2020-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,12086602.0
16642,2S Inovações Tecnológicas,2020-12-31,375,3.18,Lucro/Prejuízo do período,6579041.0
16642,2S Inovações Tecnológicas,2020-12-31,421,6.01,Caixa líquido das atividades operacionais,7167357.0
16642,2S Inovações Tecnológicas,2020-12-31,462,6.02,Caixa líquido das atividades de investimento,-315397.0
16642,2S Inovações Tecnológicas,2020-12-31,473,6.03,Caixa líquido das atividades de financiamento,-6509556.0
7288,3 Tentos Agroindustrial,2024-12-31,55,1,Ativo total,8889423000.0
7288,3 Tentos Agroindustrial,2024-12-31,56,1.01,Ativo circulante,5776390000.0
7288,3 Tentos Agroindustrial,2024-12-31,57,1.01.01,Caixa e equivalentes de caixa,1696858000.0
7288,3 Tentos Agroindustrial,2024-12-31,73,1.01.04,Aplicações financeiras,75404000.0
7288,3 Tentos Agroindustrial,2024-12-31,103,1.02,Ativo não circulante,3113033000.0
7288,3 Tentos Agroindustrial,2024-12-31,178,2.01,Passivo circulante,3666344000.0
7288,3 Tentos Agroindustrial,2024-12-31,230,2.02,Passivo não circulante,1177361000.0
7288,3 Tentos Agroindustrial,2024-12-31,286,2.03,Patrimônio líquido,4045718000.0
7288,3 Tentos Agroindustrial,2024-12-31,332,3.03,Receita líquida de vendas e/ou serviços,12825771000.0
7288,3 Tentos Agroindustrial,2024-12-31,333,3.04,Custo de bens e/ou serviços vendidos,-10294268000.0
7288,3 Tentos Agroindustrial,2024-12-31,335,3.06,Despesas/Receitas operacionais,-1286205000.0
7288,3 Tentos Agroindustrial,2024-12-31,347,3.07,Resultado antes do resultado financeiro e dos tributos,1245298000.0
7288,3 Tentos Agroindustrial,2024-12-31,375,3.18,Lucro/Prejuízo do período,756395000.0
7288,3 Tentos Agroindustrial,2024-12-31,421,6.01,Caixa líquido das atividades operacionais,726212000.0
7288,3 Tentos Agroindustrial,2024-12-31,462,6.02,Caixa líquido das atividades de investimento,-523296000.0
7288,3 Tentos Agroindustrial,2024-12-31,473,6.03,Caixa líquido das atividades de financiamento,465459000.0
7288,3 Tentos Agroindustrial,2023-12-31,55,1,Ativo total,6883789000.0
7288,3 Tentos Agroindustrial,2023-12-31,56,1.01,Ativo circulante,4422008000.0
7288,3 Tentos Agroindustrial,2023-12-31,57,1.01.01,Caixa e equivalentes de caixa,1028483000.0
7288,3 Tentos Agroindustrial,2023-12-31,73,1.01.04,Aplicações financeiras,197451000.0
7288,3 Tentos Agroindustrial,2023-12-31,103,1.02,Ativo não circulante,2461781000.0
7288,3 Tentos Agroindustrial,2023-12-31,178,2.01,Passivo circulante,2784746000.0
