id_conta,codigo_conta,descricao_conta
55,1,Ativo total
56,1.01,Ativo circulante
57,1.01.01,Caixa e equivalentes de caixa
103,1.02,Ativo não circulante
178,2.01,Passivo circulante
230,2.02,Passivo não circulante
286,2.03,Patrimônio líquido
332,3.03,Receita líquida de vendas e/ou serviços
333,3.04,Custo de bens e/ou serviços vendidos
335,3.06,Despesas/Receitas operacionais
347,3.07,Resultado antes do resultado financeiro e dos tributos
375,3.18,Lucro/Prejuízo do período
421,6.01,Caixa líquido das atividades operacionais
462,6.02,Caixa líquido das atividades de investimento
473,6.03,Caixa líquido das atividades de financiamento
73,1.01.04,Aplicações financeiras
