id_empresa,nome_empresa
16642,2S Inovações Tecnológicas
7288,3 Tentos Agroindustrial
24348,3green Technology
7288,3tentos
16412,4Bio
16412,4Bio Medicamentos
23738,5M Comércio Atacadista e Varejista de Alimentos
3034,A Alves - Indústria e Comércio
5767,A.R. Colombo
5767,A.R. Colombo Administração e Participações
8214,Abbott Diagnósticos Rápidos
454,ABC Distribuidora
10330,Abimex Importação e Exportação
14705,Açaí Frooty
20837,Açúcar Número Um
8419,Agrex do Brasil
24948,Agri Participações
22607,Agribrasil
23757,Agrícola Alvorada
24848,Agriter Agronegócios
17154,Agro Amazônia
1943,Agro Química Maringá
24891,Agro Seeds
19163,Agro Trends Participações
22118,Agrofel
19163,AgroGalaxy
19903,Agromave Participações
24695,Agropastoril Jotabasso
16549,Agrototal Holding
8214,Alere
8417,Aliança Agrícola do Cerrado
14319,Alibem
7319,All Nations
20213,Allfood
20213,"Allfood Importação, Indústria e Comércio"
15198,Allied
15198,Allied Tecnologia
24545,Almacenes Éxito
7423,Almar Participações
5806,Almart Administração
3130,Aluísio Silva
5763,Amaggi
6406,AMER
6406,Americanas
6405,Americanas
982,Amisa
23837,Ammo Varejo
14223,Amplitude Latin América
15929,Anchieta Comércio e Serviços de Distribuição
9792,APB Automação
69,Apec Veículos
12748,Aramis
16539,Araujo Drogaria Drugstore
8864,Arcelormittal Pecém
5732,Arcom
1273,Armazém Paraíba
22808,Armazém Paraíba
6072,Armazém Paraíba
3755,Armazens Martins
14433,ARP Med
6202,Artmed
6715,Asperbras
6715,Asperbras Brasil
7794,Assaí
7794,Assaí Atacadista
22274,Astellas
18534,AstraZeneca do Brasil
21028,Atakadão Atakarejo
21028,Atakarejo Distribuidor de Alimentos e Bebidas
21083,Atlântica Exportação e Importação
8373,Atlântica Sementes
452,Atorag Participações
18120,Auriverde
288,Auto Agrícola
982,Auto Mecânica Ibirubá
14275,Auto Sueco São Paulo
24403,Automob
24965,Automob Participações
16667,Avenue
16667,Avenue Hoche Comércio Varejista de Produtos
2268,Avivar
14915,Avvio
16978,AWM Holding
16978,AWM Participações Societárias
6406,B2W Varejo
2169,Bagó
1569,Bamaq
1236,Bartofil
1236,Bartofil Distribuidora
20853,Basequímica
5821,Baterias Moura
3808,Battistella
3308,Bauko
7980,Bauko
7980,Bauko Equipamentos de Movimentação e Armazenagem
24348,Bel Micro
21117,Belagrícola
21117,Belagrícola Comércio e Representações de Produtos Agrícolas
24466,Belenus
24348,belmicro
23056,Bemol
23056,Bemol Matriz
3275,Benafer
1039,Benevides Águas
20011,Bidfood Brasil
20815,Bigsal
21051,BioHosp
21051,BioHosp Produtos Hospitalares
18570,Biomedical
7935,Biopalma
9835,Biz Distribuidora
17231,Blue Cycle
19754,Bluequest Resources do Brasil Importação e Exportação
22662,Bompreço do Brasil Participações
4999,Bonsucesso Participações e Empreendimentos
